{'date': '2017-06-22 21:30', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-24 16:15', 'home': 'changnin', 'temperature': '27.70', 'humidity': '99.90'}
{'date': '2017-06-24 16:30', 'home': 'changnin', 'temperature': '27.70', 'humidity': '99.90'}
{'date': '2017-06-24 16:45', 'home': 'changnin', 'temperature': '27.80', 'humidity': '99.90'}
{'date': '2017-06-24 17:00', 'home': 'changnin', 'temperature': '27.70', 'humidity': '99.90'}
{'date': '2017-06-24 17:15', 'home': 'changnin', 'temperature': '27.70', 'humidity': '99.90'}
{'date': '2017-06-24 17:30', 'home': 'changnin', 'temperature': '27.70', 'humidity': '99.90'}
{'date': '2017-06-24 17:45', 'home': 'changnin', 'temperature': '27.60', 'humidity': '99.90'}
{'date': '2017-06-24 18:00', 'home': 'changnin', 'temperature': '27.20', 'humidity': '94.90'}
{'date': '2017-06-24 18:15', 'home': 'changnin', 'temperature': '27.10', 'humidity': '91.50'}
{'date': '2017-06-24 18:30', 'home': 'changnin', 'temperature': '25.40', 'humidity': '62.70'}
{'date': '2017-06-24 18:45', 'home': 'changnin', 'temperature': '25.00', 'humidity': '68.10'}
{'date': '2017-06-24 19:00', 'home': 'changnin', 'temperature': '25.00', 'humidity': '60.80'}
{'date': '2017-06-24 19:15', 'home': 'changnin', 'temperature': '24.50', 'humidity': '62.10'}
{'date': '2017-06-24 19:30', 'home': 'changnin', 'temperature': '24.50', 'humidity': '62.10'}
{'date': '2017-06-24 19:45', 'home': 'changnin', 'temperature': '24.50', 'humidity': '66.80'}
{'date': '2017-06-24 20:00', 'home': 'changnin', 'temperature': '24.40', 'humidity': '66.70'}
{'date': '2017-06-24 20:15', 'home': 'changnin', 'temperature': '25.30', 'humidity': '99.90'}
{'date': '2017-06-24 20:30', 'home': 'changnin', 'temperature': '25.30', 'humidity': '99.90'}
{'date': '2017-06-24 20:45', 'home': 'changnin', 'temperature': '25.70', 'humidity': '99.90'}
{'date': '2017-06-24 21:00', 'home': 'changnin', 'temperature': '26.30', 'humidity': '99.90'}
{'date': '2017-06-24 21:15', 'home': 'changnin', 'temperature': '26.30', 'humidity': '99.90'}
{'date': '2017-06-24 21:30', 'home': 'changnin', 'temperature': '26.40', 'humidity': '96.60'}
{'date': '2017-06-24 21:45', 'home': 'changnin', 'temperature': '26.50', 'humidity': '96.40'}
{'date': '2017-06-24 22:00', 'home': 'changnin', 'temperature': '26.50', 'humidity': '93.80'}
{'date': '2017-06-24 22:15', 'home': 'changnin', 'temperature': '26.60', 'humidity': '95.50'}
{'date': '2017-06-24 22:30', 'home': 'changnin', 'temperature': '26.70', 'humidity': '91.90'}
{'date': '2017-06-24 22:45', 'home': 'changnin', 'temperature': '26.70', 'humidity': '91.90'}
{'date': '2017-06-24 23:00', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-24 23:15', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-24 23:30', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-24 23:45', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-25 00:00', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-25 00:15', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-25 00:30', 'home': 'changnin', 'temperature': '27.00', 'humidity': '76.80'}
{'date': '2017-06-25 00:45', 'home': 'changnin', 'temperature': '27.00', 'humidity': '91.60'}
{'date': '2017-06-25 01:00', 'home': 'changnin', 'temperature': '27.10', 'humidity': '97.10'}
{'date': '2017-06-25 01:15', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 01:30', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 01:45', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 02:00', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 02:15', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 02:30', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 02:45', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 03:00', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 03:15', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 03:30', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 03:45', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 04:00', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 04:15', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 04:30', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 04:45', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 05:00', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 05:15', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 05:30', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 05:45', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 06:00', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 06:15', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 06:30', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 06:45', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 07:00', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 07:15', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 07:30', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 07:45', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 08:00', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 08:15', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 08:30', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 08:45', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 09:00', 'home': 'changnin', 'temperature': '27.20', 'humidity': '99.90'}
{'date': '2017-06-25 09:15', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 09:30', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 09:45', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 10:00', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 10:15', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 10:30', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 10:45', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 11:00', 'home': 'changnin', 'temperature': '27.10', 'humidity': '99.90'}
{'date': '2017-06-25 11:15', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-25 11:30', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-25 11:45', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-25 12:00', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-25 12:15', 'home': 'changnin', 'temperature': '27.00', 'humidity': '99.90'}
{'date': '2017-06-25 12:30', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-25 12:45', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-25 13:00', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-25 13:15', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-25 13:30', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-25 13:45', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-25 14:00', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-25 14:15', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-25 14:30', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-25 14:45', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-25 15:00', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-25 15:15', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-25 15:30', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-25 15:45', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-25 16:00', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-25 16:15', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-25 16:30', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-25 16:45', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-25 17:00', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-25 17:15', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
{'date': '2017-06-25 17:30', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.00'}
{'date': '2017-06-25 17:45', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.00'}
{'date': '2017-06-25 18:00', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-25 18:15', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-25 18:30', 'home': 'changnin', 'temperature': '26.80', 'humidity': '98.10'}
{'date': '2017-06-25 18:45', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-06-25 19:00', 'home': 'changnin', 'temperature': '26.90', 'humidity': '99.90'}
